Metin,Durum
Çok kötü. 3 al 1 öde kampanyasından seçtim ama oyuncak gözlük gibi ,camları doğru düzgün yerleştirilmemiş berbat,
bune ya cocuk gözlüğü gibi kalitesiz inanmayın arkadaşlar urun pazarda satılanlardan bile kalitesiz ve farkli,
acayip kötü paketleme ve göründüğü kadar iyi değilmiş pişman oldum çok kısa durdu satıcıdan daha iyisini beklerdim,
Tek kelime ile İĞRENÇ.. hiç memnun kalmadım özellikle kargolamasını hiç beğenmedim gözlüğün kutusunu bile bant ile yapıştırmışlar içindeki gözlük silme bezi de bir penye parçayı kesip koymuşlar kesinlikle almayın tavsiye etmem,
bu cok iyi kaliteli falan yazanlar ilk defa günes gözlüğü görüyor sanırım , ne rengi aynı ne tipi , bilerek tek fotograf koyulmus , alıp paranızı zamanınızı harcamayın , iade edecegim,
bu ürünü sipariş vermistim beşgen seklinde geldi. fakat genede begendim fiyatina gore kaliteli ve cok hos duruyor,
Bayan yada çocuk icin alinabilecek bir ürün,benim yuzume cok kucuk geldi gozluk sapi kulagimin arkasina zor yetisiyor.,
görseldeki ürün gelmiyor bildiğiniz yuvarlak bi gözlük gönderiyolar ortadaki burun kısmı da biraz uzun gözlük dışarda kalıyo,
Hıc begenmedım burunu tutması ıcın olan plastık aparatın bıtanesı yoktu halıyle burnumu cok acıttı egık buyuk bısey geldı bnde cope attım haberınız olsun,
Sokak satıcılarındaki dandik gözlüklerden hiçbir farkı yok. Evet zaten uygun fiyatlı diye kaliteli bir şey beklemiyordum ama bu da cidden takıp kullanılamayacak kadar kötü. Araç kullanırken kesinlikle takmayın kaza yapma riskiniz artar,
cok dandik bi urun cocuk gozlugu gibi kadinlarda guzel durabilir ama erkekler kesinlikle uzak dursun derim,
bu ürünü de göründüğü gibi değil arkadaşlar çok sahte bir ürün çin malı daha kaliteli yani seyhar satıcı daha kaliteli ürün bulursunuz bu site güveniyorum sizlerde güvenmeyin,
iki gün kullandık ortadan kırıldı sürekli arabada duruyordu çantada falan da değil çok adi bi ürün kesinlikle tavsiye etmem. dışarda on liraya satılanlar daha kaliteli,
Ürünü farklı göndermişler. Hiç hoş olmayan bir gözlük geldi. Ellerinde kalmadı galiba ama keşke stokta kalmadı diye belirtselermiş. Ayrıca kargo aynı şehirde olmama rağmen 2 haftada geldi. Benim için tam bir hayal kırıklığı ????,
ürün fiyatına göre iyi ama kutusu falan hiç beğenmedim gözlüğe ait bir kabı olmalıydı bence laylona sarılıp gönderilmesi hiç hoş değil,
Ürün kesinlikle göründüğü gibi gelmiyor. Çerçevede çok fazla çizik vardı .1 yıldızı bile hak etmiyor. Paketlemesi özenli değildi ezilmiş bir karton kutu içinde geldi.Max 20 -25 liralık bir gözlük Tavsiye etmiyorum kesinlikle ALMAYINN!!,
yani normal, çok guzel bir şey beklemeyin ürün dandik bir ambalaj ve dandik bir gözlük bezi ile geldi. gözlüğün kendisi de idare eder,
Görüntüye güvenip de satın aldım fakat aldanmamak gerekirmiş. Çerçevesi siyah değil haki rengi, kalitesi düşük ve ebatı çok küçük. Kolay gelsin bu sondu.,
resimdeki gözlük gelmedi Garanti belgesi y London marka garanti belgesi geldi kutu polo ama gözlük daha farklı bir marka,
Ürün görseldeki gibi tam yuvarlak degil 6gen. Geliyor sanki cocuk gözlügü gibi ve kücük minyon yüzlüyseniz size göre .,
Gözlük çerçevesi yamuk, cam çerçeveye oturmamış, kenarları açık durmuyor, gözlük tam bir oyuncak,
Ürün fotoğraftakiyle aynı değil, 2 tane gözlük almama rağmen bir tane gözlük kutusu ve bir tane gözlük bezi geldi.,
cok kötü 2-3 kullanimda kulak arkasina gelen plastik parca cikti.Camlari görüş özelliği iyi değil.Dördüncü kez takamadım..,
Bu ürün beş para etmez sokakta tezgahta satılan ürünler bile bunlar-dan iyi trendyol gibi bir firmanın böyle dandik firmalarla çalışmasıda ayrıca düşündürücü birdaha trend yol mu asla ve katta kaliteli satıcılarla çalışmadığı sürece birdaha alışveriş yapmayacağım hiç kimseye de tavsiye etmem,
tek kelime ile saçmalık gözlüğün her yeri yamuk ne mesajlarıma baktınız ne düzgün mal yolluyorsunuz iadeye yollayacağım,
Çerçevesi resimde siyah gözüktüğü halde gümüş geldi ve camları da siyah söylememe rağmen mor geldi hiç memnun kalmadım,
Fotoğraftakinden farklı ve sapları yamuk çıktı 1 yıldız bile fazla,
malesef hiç beğenmedim iade edeceğim bujiteri gözlükleri gibi iki kullanımdan sonra kırılacak gibi duruyor,
Camları çerçeveden düşmüş geldi, takamadım. İade işlemlerimide aevmesiğim için öylece kaldı, kıllanamıyoeum,
Kargodan ne garanti belgesi ne de fatura çıktı. E-faturam bile yok. Gözlük balonlu naylon poşete sarılmış gönderilmişti. Gerçekten çok kalitesiz duruyor. Taktığımda gözlerimi ağrıttı. Verilen puanına ve yorumlarına güvenerek almıştım ama hiç yorum veya puanına orantılı bir ürün gelmedi.,
Arkadaşlar eğer bu yorumlara bakıyorsunuz allah aşkına paranıza yazık gözlük 4 sınıf kalite, yamuk , kağıt karton da geliyor ve göz sağlığı için 0 kalite taktığınızda bulanık gösteriyor UMARIM DİKKATE ALIRISINIZ,
ürün yamuk geldi. indirimde uygun fiyata almıştım fakat iyiki indirimde almışım. cok kaliteli bir gözlük beklemeyin. gözümde biri aşağıda duruyor biri yukarıda. Ve gozlukcude düzeltilecek gibi de değil malesef.,
Ürün camı çizik içinde ve kalitesiz neden insanları kandırıyorsunuz indirim yaptınız neden defolu ürünleri insanlra satmak için maduriyetimi giderin ve insanlara satmayın böyle ürünleri,
kalitesiz bir gözlük aldığıma pişman oldum. İlk başta fiyat 390 tl indirim diye gösteriyordu şimdi ise 69 tl ne kadar ...... bir uygulama ilk defa alış veriş yaptım ben ,siz yapmayın hatalı ürünler geliyor .,
ürün kalitesi orta altı ama ürünün sarılmış kutu parcalarina konulması tam bir rezaletti. kutu yok temizleme mendili yok sarılmış karton parçası içine konulmuş rezalet.,
Böyle bi yer olduğunu yeni öğrendim ama aylar önce aldığım ürün hala elime ulaşmadı kargo şirketini aradığımda ise sürekli bahane ürettiler ve para iadesi olmadı yardımcı olabilecek var mı acaba,
Ürün tam bi hayal kırıklığı 1 haftadır kargo teslim edilmedi çıkış şubesine verilip verilmediğinden bile emin değilim kargo çıktı dio takip no var ama ulaşan kargo yok 3 kez aradım kayıt bıraktım 1 hafta bekleyin diyorlar gelmesin arkadaş gelmesin !!! Paramı iade edin sadece !,
15. Günün sonunda kargo geldi cam değil bildigin plastıkti dayanaksız birşey ve küçük paranızı daha iyi şeylere harcamanızı isterim bende iade ediyorum zaten,
Kulpları çok dandik güzel kapanıp açılmıyor kırılacakmış hissiyatı veriyor. Görüntü şekil ok ama biraz daha dayanıklı havası olsa güzel derdim.,
Ürün çok kötü. Kullanılacak gibi değil. Baya kalitesiz. Önünü görmeni bile engelliyor. Önündeki cam plastik ve bunu hissettiriyor. Burna gelen kısmının mesafesi çok fazla. Asla verdiğin paraya değmez. 10 lira bile çok buna. Gerçekten aldığıma çok pişmanım. Kesinlikle almayın,
resmine ve yorumlar bakarak aldım. ürün çok küçük oyuncak gibi kutusu yok çok pişman oldum yetkili firmadan hemen bu gözlüklerin kutusunu istiyorum ne için de muhafaza edebilirim zaten çok kaliteli değil,
almayın arkadaşlar internetten gözlük??öyle ki gözlüğün garanti belgesi yerine saat garanti belgesi vardi icinde.gozlukte bi bujiteriden alsanız daha kaliteli olurdu.baska birşey diyemiyorum ??almayın ltfn.hayır birde süper falan yazan olmuş yoruma cok kaliteli vauvv diye.o kadar kötü ki iade icin bile uğraşamadım.zahmetime yazik.attım.param çöpe gitti sadece.almayin.,
Gözlüğü kendime aldım 10 yaşındaki kızıma tam oldu bunu göze alarak almıştım zaten yani bana olmazsa kızım takar demiştim ama kalite olarak beklentimin çok altında çıktı geri iade sürecini başlattım inşaallah sorunsuz iade olur,
Kalite olarak beklediğimin çok çok altında ve ciddî manada defolar var eşime hediye olarak sipariş ettim ama hediye edilmeyecek kadar kalitesi düşük sipariş ederken iki kere düşünün derim.,
Ürün resimde görüldüğü gibi tam siyah değil duruşu da biraz yamuk gibi o yüzden begenmedim hiç ama kullanılabilir mi evet kullanılır,
görünenin aksine kalitesiz bi ürün geldi hiç memnun kalmadım. Daha da alışveriş yapmam.,
Ürün elime belirtilen tarihler arasında geldi. Fakat, beklediğimden daha da küçük geldi. 14 yaşındaki kardeşime verdim artık.,
Ürün paketlenmesi ve kargolanmasi çok kötüydü sert bi kutu yerine karton kutuya koyup yollamışlar. Birde Fiyatının gözlüğü değil Allahtan indirimdeyken almışım çok da zoruma gitmedi.,
Gönderilen cam siyah bile değil. Camı aşırı kalitesiz yarısı beyaz resmen. İnsanın gözüne güneş yansıma yapıyor. Güneş gözlüğü değil de kör eden gözlük desek çok daha doğru olabilir.,
Abi niye resimdeki ürünle aynı ürünü göndermesiniz ki. Camı resimden tamamen farklı ve gelen ürününün de sol camı daha karanlık. Takıldığı zaman sol göz sağ gözden farklı görüyor. Ayrıca sapı çizik. Rezalet.,
ürünü beğenmedim tam net göstermiyor biraz bulanık gösteriyor.,
Almayın pişman olursunuz. 2 ürünümü de yanlış yollamışlar. Gelen ürünler kötü olduğu gibi yamuktu da iade etmek zorunda kaldım.,
Ürün hem kalitesiz hem de küçük,
Paketlemesi hayli özensizdi. Pek tavsiye edemeyeceğim arkadaşlar,
Çok kaliteli bir şey beklemeyin. Biraz küçük,
aldığım gibi elimde bölündü sanırım takamıcan zaten çok küçüktü gerçekten çok küçüktü,
kaliteli ama kucuk yüzlülere daha uygun cok şık,
Çok küçük bir ürün çoçuk gözlüğü anlatıldığı gibi çok da kaliteli değil,
Pazar malı ile aynı kalitede,
Fena değil. İndirimden almıştım bu fiyata gayet normal,
Biraz basit bir ürün. Yüzüme küçük geldi. Kızıma verdim,
Ben beğenmedim. camı dışa çıkık ve yamuk, bu fiyata daha iyi gözlükler alabilirsiniz,
Ürün resimdeki gibi değil camının altı açık renk üstü koyu resimdeki gibi komple camı siyah değil,
Paketleme çok kötüydü keşke bir tane kutuya koyup gönderseydiniz,
begenmedim Asiri buyuk burun kismi. bana olmuyor,
renk sekronu cok kotu şık duruyor ama fazla karanlik,
Arası çok açık iade ettim alacaklar bunu bilerek alsın derim ??,
CAMLAR AŞIRI KOYU NEDENSE...ÇOK SAĞLAM GÖRÜNMÜYOR AYRICA,
Çok dandik bir gözlük hiç kullanışlı değil,
çok kaliteli bir ürün değil dikkat edin küçük bir gözlük,
elime ulaşması uzun zaman buldu. iade ettim, önermiyorum.,
çocuk gözlüğü resmen kardeşime verdim o kullancak yüzü büyük olanlar tercih etmesin,
Kafaya ufak geliyor burun üstüne oturmuyor (burnum küçük olmasına rağmen,
Siyah camlı diye almıştım Gelince lacivertİmsi olduğunu fark ettim Güzel duruyor ama tavsiye etmem,
Beklediğim gibi değil fotoğraf açısı daha fazla olması gerekiyor ,
ÇOK BEĞENEMEDİM YAMUK GİBİ GÖZLÜK BİR DÜZENSİZLİK VAR HOŞ DURMUYOR ÇOK AYRIK VE AÇIK YANLARI,
bi tarafı eğik geldigi icin iade etmek zorunda kaldik,
Pek saglam degil,
ürün çok dandik. bi tarafı çok gevşek diğer tarafı da çok sıkı. parasının malı değil,
Ürün camı ile cerceve arasında boşluk mevcut.Kusurlu gönderim mevcut.,
ürün uygun fiyatlı ama ebatı küçük küçük yüzünüz varsa alabilrsiniz,
metali çok kötü yamulmaya müsait ama bu fiyata da anca bu kadar,
biraz küçük geldi. ve paket çok özensizdi.,
2 caminda da cizik varmis degistirme imkanimiz varmidir?,
resimler de göründüğü gibi değil koyu siyah görünüyor ama açık renk,
urun kuçuk geldi ve çok ince ve hasas yere duşerse hemen kirilir verer gibi bir hissi var,
beklentimin çok altında kaldı çünkü oldukça küçük,
arkadaşlar ürün çok küçük çocuk gözlüğü bu sakın almayin,
cok kucuk geldi.oyuncak gibi.cocuguma bile olmadi,
Çok kalitesiz ve burna oturan silikon kısmı bir tarafta yoktu.,
Arka tarafı çok net göstermiyor bence araba kullanırken çok rahat etmiyorum bir tık da yamuk geldi,
bekledigim kalitenin altında ama f/p oranı ile göz ardı edilebilinir bir durum,
günesi kirma ozelligi guzel yalniz çercevesi çocuklqr icin eriskinler icin tavsiye etmem.,
hiç beklediğim gibi çıkmadı kulaklık demirleri çok sert açılıp kapanmıyor,
gözlük dış görünüş olarak güzel ama gözlerinizi ağrıtıyor.,
malesef göründüğü gibi kaliteli değil,
rengi orda göründüğü gibi değil ama idare eder,
Ucuz olduğu için hiçbir kalite beklemeyin. Kafana takarken içe bombeli oluyor vs,
Ürün bana ekranı çizik geldi ama genel olarak sıradan günlük bir ürün.,
Yamuk geldi. Hiç beğenmedim. İade etmekle uğraşmadım açıkçası,
ürün kafama çok küçük geldi sanki çocuk gözlüğü,
bildiğin çocuk gözlüğü ve çok İnce oğluma verdim 10 yaşında o takıyor artık.,
Gözlük burnumu acıtıyor. Biraz sert. Göründüğü kadar kaliteli değil.,
Çok çirkin bir gözlük gerçekten ortası ayrık duruyor ve kafam büyük olmasına rağmen kocaman durdu.,
cam rengi çok koyu genel olarak kötü değil,
urunu beğenmedim kalitesi kötü ancak kulpları çok bol,
kutusu yok karton sarmışlar dışına sol tarafa açılan oynuyor bence almayın,
Burnun çok tepesinde kalıyor ara kısım,
kulanılmış gibi marka model yaziları silik,
cami bambaşka,
6 gündür izmirden İstanbula gelemiyor şaka gibi 6 günde ülkeler arası kargo gidip geliyor pes,
Kesinlikle almayın 5-6 yaş çocuk gözlüğü gibi çok küçük ve çok havada duruyor göze yakım değil !,
Ürün hiç beğenmedim gorseldeki gibi değil paketlemede ozenilmemis,
Bir yıldızı bile hak etmiyor berbat dandik,
Gözlüğü takınca buğulu gösteriyor. Cam kalitesi iyi gelmedi iade edeceğim.,
15 gün bekledim ve camı çatlak alakasız ve kalitesiz bir ürün ulaştı elime iade ettim.,
fiyatına göre gayet güzel. ama teslimat çok kötü.,
Resimdekiyle alakası yok çok kötü ve aşırı kalitesiz,
Kaliteli diyemem sevmedim satıcı da bi o kadar alakasız pişman oldum iade ettim ??,
Arkadaşlar ürün yamulmuş bi şekilde geldi, ve boyutu aşırı küçük çocuk gözlüğü gibi..,
çocuk gözlüğü gibi ufacık böyle beklemiyordum,
Siyah renk çerçeve yerine metal renk göndermişler,cam boyutu küçük,
hiç beğenmedim göründüğü gibi bir ürün değil kesinlikle tavsiye etmiyorum,
göründüğü gibi bir ürün deyil maalesef,
Ürün kalitesiz ve yamuk çıktı takınca dünyam döndü zaten hiç beğenmedim iade ediyorum,
Eşime almıştım çok küçük ve oyuncak gibi ??,
üründen hiç memnun kalmadım çok kalitesiz ve canlar çok siyah,
urun kargoda kayboldu 1 aydan fazla elime geçsin diye uğraştım olmadi şimdide iadesiyle uğraşıyorum,
Siyah gözlük yazıyordu mor geldi saçmalık,
Ürünün camı çatlak geldiği için iade süreci başlattım,
Berbat 10 liraya dahil alınmaz etmez iade edeceğim pişmanım,
Gözlük çerçevesi yamuk geldi !!! sağ sapı yamuk .,
bir milyoncudan almış gibi bi gözlük cerceve küçük dandik bisey tavsiye etmiyorum,
Çok küçük geldi iade ettim. Tavsiye etmem çok ince.,
Yanlış ürün n yollanmış,
Hiç sevmedim çok dandık duruyor tavsiye etmem,
Ürünun kolları hafif yamulmuş ve kapanmıyor tam olarak tavsiye etmem,
Siyah sipariş ettim kahverengi geldi ,
kalitesiz göründüğü gibi değil her an kırılabilir,
Beklediğim gibi değildi sakın almayın. Fotoğrafla alakası yok. Güzel olan tek şey kutusuydu.,
Yamuk geldi gözlük. Sağ camı yukarda sol camı aşağıda .,
hiç beklediğim gibi değil camlar kırmızı çerçeve beyaz geldi.,
ürün kaliteli falan değil. görüldüğu gibi de değil,
berbat ötesi bir ürün dalga geçer gibi bez parçasına koymuşlar sakın almayın derim,
Çocuk gözlüğü falan herhalde bunlar küçücük geldi,
Kesinlikle almayın çok kalitesiz duruyor ve yamuk paranıza yazık,
urun çok kaliteli değil benimki yamuktu sapları çok ince,
Çok kalitesiz. Açıp kapatırken güç uygulamak gerekiyor. Aynı zamanda yamuk.,
Çok kötü ve küçük sakın almayın bunu satarken insan utanır...,
ürünü asla tavsiye etmem göründüğü gibi deil erkek gizligu gibi yani iğrenç!!!,
Ne koruma kabı nede temizleme bezi vardı beğenmedim ürünü,
Gözlüğün metalleri biraz dandik gibi ama kullanıp göreceğiz,
Gözlük küçük ve aldığım fiyatın yarısına inmiş almayınnn,
Çok kötü kutu tasarımı,
çok dandik yani paraya yazık 8 yaşındaki kızıma verdim oynasın die,
Çok kötü berbat bi urun çok adi bi ürün pişmanım aldığıma bebek gözlüğü sanki memnun değilim,
Ürün çok hafif ve kalitesiz duruyor içine bir gözlük kabı bile konulmamış özensiz buldum.,
Düz değil ve takınca kulak arakasına çok uzun geliyor,
Ürünüm hasarlı geldi!!!! Yamuk duruyor gözlük asla düzelmiyor kullanılıcak gibi değil,
Göründüğü gibi değil rengi de şeklide kesinliklr almayın,
Camları ekrandakinin aynısı değil! Kalitesi kötü!,
Bu ürünü istemiştim fakat gelen ürün farklı bir modeldi,
küçük geldi çocuklara göre yapılmış sanki,
almasam da olurmuş. beğenilecek bi tarafı yok.,
Ürün bir cacığa benzemez çocuk gözlüğü gibi,
güzeldi ama urun çok küçüktü,
kesinlikle almayın iğrenç bi gözlük kırık çıkık büyük küçük oyuncak gibi bir şeydi,
Ürün güzel ama üstünde cizikler vardı ve tozluydu baya,
yorumlara güvenerek aldım fakat cidden çok dandik ve yamuk bir gözlük geldi resimdeki gibi değil,
Ürünü beğenmedim dışa doğru çıkıyor güzel görünmüyor,
almayın aldirmyin kötü ötesi. yamuk renk farklı ve çok küçük.,
Kalitesiz, ve görseldekinin aynısı gelmiyor.,
kutusu çok dandik beklediğimden kalitesizdi tavsiye etmiyorum ayrıca sadece teneke ve camdan ibaret,
göründüğü gibi değil yamuk geldi kalitesiz,
Ürün baya küçük ve gösterildiği kadar koyu değil,
Çok kucük geldi cocuk gözlüğü gibi hic begenmedim,
yüzüm küçük oldu için tercih ettim. on numara,
çok küçük çocuklara bile küçük sakin siparis vermeyin pişman olursunuz,
reaZon yazıyo camın üstünde ya hiç beğenmedim,
gözlük küçük oturmuyor almayın aldırmayın,
O kadar dandik ki yamulmuş birde gelirken kalitesiz,
Yüze göre çok küçük kalıyor çocuk gözlüğü gibi,
arkadaşlar ürün geri iade ettim 2 3 hafta oldu hayla gelmedi almayın,
ürün göründüğü gibi değil verilen paraya değmez .ben iade ettim,
Ürün gelmediği halde gönderilmiş gösteriliyor bu nasıl bir mantık anlamış değilim,
kolları çok sert kırılacak diye korkumdan açıp kapatamıyorum hiç beğenmedim,
Çok dar küçük ve kalitesiz bir yapısı var.Camları da çok kötü ciddi göz bozar,
Fotoğraftakinden daha küçük ve gözlük küçük geldi,
Kullandim ve gozlerim bozulu kesinlikle almayin derim,
Malesef ürün kırılmış bir şekilde bana ulaştı,
Çok da iyi değil Çok da kötü değil,
ürün kırık geldi koli sağlam olduğuna göre satıcı firma bilerek kırık gözlük yollamış çok yazık,
küçük geliyo bayan gözlüğü sanırım paranıza yazık almayin,
aynı ürün gelmedi,
berbat ötesi paketleme hasar görmüş kap ve çizik olan gözlük baya baya kötü,
oyuncak gibi berbattı,
Bu kadar rezalet bir ürün görmedim kesinlikle almayın fotoğrafla hiçbir alakası yok.,
Ürün unisex falan değil aşırı küçük. Erkekler takamaz,
çok kötü camları çizik elde kalmış ürünleri gönderiyolar hiç tafsiye etmiyorum almayın,
göründüğü kaliteden değil. gözlük filmi çizik geldi. bütün olarak yamuk.,
kardeşime almıştım baya kötü hiç göründüğü gibi değil küçük yazmışlar ama kocaman oldu,
gözlük pazar gözlüğü gibi .gözlüğün kutusu olmazmı ya silme bezi de yok.iyi değil yani,
Dandik ve berbat,
gereksiz ofsayt a takıldı ürün !!!!,
Bana gözlük çizik geldi hemde baya bir çizik iade edicem paketleme güzel değil,
2 urun istedim biri kırık geldi yenisini toplamlarını rica ediyorum,
kırık çıktı kalitesi düşük,
Kafanız çok küçük değilse almayın gerçekten çok küçük. Kabı da çok kalitesiz.Kesinlikle önermiyorum.,
Kalitesi çok düşük iki üç defa kullandım camda bazı yerlerde renk değişimleri oldu,
Cok kotu bir gözlük hiç memnun kalmadım bir kere yamuk ve çok küçük,
Kalitesi berbat aynı zamanda oldukça küçük,
hiç beğenmedim çok dandik her yeri oynuyor,
gözlüklerin bir camı köyü bir camı açık renkte hiç memnun değilim,
asla tavsiye etmiyorum kutuda bile gondermediler iade edicem,
çok kötü geldi cam tarafa açık şekilde geldi,
25tl'ye aldık ve hiçte aman aman kaliteli değildi çocuk gözlükleri gibi öylece duruyor evde,
Fiyatına göre kötü bi ürün gözlüğün camı çerçeveden ha çıktı ha çıkacak gibi,
ürün çok küçük ve yamuk bir şekilde geldi tavsiye etmiyorum beğenmedim,
Ürür görseldekinden çok farklı geliyo almanızı tavsiye etmiyorum,
Malzemesini beğenmedim,
Gözlük eğri geldi kimse almasın,
eh işte bir gözlük,kesinlikle parasını haketmiyor.,
ben indirimde çok uygun bir fiyata almıştım. gerek paketleme gerek ürün çok kötü geldi.,
Kullanılmış gözlük göndermişler,
kuponla aldım ucuza geldi zaten ederi de anca okadar kutu yok silme bezi yok...,
urun bes para etmez yamuk yumuk bir urun geldi almayin paraniza yazik,
Kullanılmış ürün geldi geri göndermeye üşendim. Hemen de yamuldu zaten,
yanlış ürün geldiği için dememek nasip olmadı,
kotü paketleme ve oldukca kucuk,
Ürün iyi ama pahalı bu fiyata değmez,
Çok kötü direk çöpe attım,
Çok kalitesiz yamuk yapmışlar,
Kalitesiz?? bu fiyata değmez,
5beş para etmiyor,
hiç beğenmedim çocuk gözlüğü boyutunda,
Ürünün kutusunu ve kalitesini beğenmedim,
güzel gözlük herkese yakışır bence,
Burun paletlerindeki plastik yerler düştü. Almayın!,
idare eder ama resimden farklı biraz,
Göründüğü gibi değil,
Çocuk gözlüğü gibi küçücük dar.,
paketleme kötü,
Çok büyük iade edeceğim,
Çok büyük ve köşeli geldi...,
oyuncak gibi,
Ürün Yamuk Geldi,
guzel idare ediyo,
çocuk gözlüğü gibi,
beyenmedim.kaliteli deyil,
İyi idare eder,
ürünün bedeni çok küçük beğenemedim,
dandik bir ürün.,
Küçük kibar bir gözlük. Beğendim ,
ben cok begenmedim,
Fiyatına göre güzel,
kötü bir üründü...,
güzel urun tavsiye ederim,
çocuk gözlüğü gibi. begenmedim,
ucuz etin yahnisi ??,
Tavsiye etmem,
göründüğü gibi gelmedi,
Çok küçük geldi :((,
guzel ama cok ince,
Küçük geldi,
baya kötü.......,
Fiyat olarak iyiydi ama beğenmedim,
Pek beğenmedim,
gözlük çok kısa kulağıma yetmiyor,
çok güzell,
Fiyatına göre.. çok kaliteli değildi,
ürün biraz basit idare eder.,
Siyah sipariş ettim kahverengi geldi,
Yan tarafları sıkıyor,
Dandik. Boşa para.,
çok beğenemedim,
hiç güzel değil hiç begenmedim,
Çok basit bi gözlük...,
Fena değil,
İstediğim model gönderilmemiş,
Çok geniş hiç beğenmedim,
arkadaşlar beklediyim gibi gelmedi,
fotodaki gibi değil. kullanışlı değil,
hatalı ürün geldi,
kesinlikle almayın,
mor geldi:((( üzücü,
Çocuk gözlüğü gibi,
Çok kalitesiz,
Oyuncak gibi aslaaa tavsiye etmiyorum.,
Berbat aşırı kalitesiz,
Sapı çok kısa çocuk gözlüğü resmen,
beş para etmez,
bilgi eksiği var küçük çocuk gözlüğü,
hic begenmedim.,
berbat değmez sakın almayin,
ÇOK KÖTÜ boyutu Küçücük ??,
fotoğrafta göründüğü gibi değil. iade...,
cam kalitesini begenmedim,
Çok kalitesiz ve kötü,
Ürünü almayın hiç göründüğü gibi değil,
küçük ve aşırı kalitesiz,
Hiç sevmedim maalesef,
Hiç bir işe yaramaz ..,
Kalitesiz ve çok küçük,
beş para etmez,
Ürün berbat yorumlara aldanmayın!!!,
Çok kötü almayın kağıt gibi,,
Almayın saçma sapan bir gözlük geldi,
Çok dandik,
dar çerçeve,
Beğenmedim maalesef duruşu güzel değil,
Camlar beklediğim gibi siyah değil,
beğenmedim,
Çok küçük ebat anlamında,
çok kötü kalitesiz ve küçük,
Geldigi gün kırıldı,
hiç memnun kalmadım bi kere cok adi,
Kanatları çok şnce,
gözlük yamuk kesinlikle almayin,
malesef camları kendiliginden düşüyor.,
Çok küçük çocuk gözlüğü gibi iade ettim,
Tek kelime ile berbat !,
çok çabuk eğiliyor bükülüyor,
lanet olsun böyle ürüne kalite yoksunu,
3 kullanıma pert oldu.,
cam cizikti demir boyalarida gitmis,
Aşırı kötü,
kötü tek kelime ile,
Farklı bi ürün gönderdiler,
dandik duruyor çok siyah,
ÜRÜN YANLIŞ GELDİ,
Çok küçük kör gözlüğü gibi,
Cok kötü. Yamuk tavsiye etmiyorum,
kalitesi cok kotu,
çok kotu kaliteli,
Berbat valla sakın almayın,
Çok küçük olduğu,
sakin almayin,
Hiç beğenmedim,
Onla alaksı yok,
tavsiye etmem,
Çok kötü sapı açılmıyor,
çok fazla rahstsiz edici fazla sıkıyor,
ürünü hiç kullanışlı değil,
berbat paranıza yazık,
Beş para etmez denemeyin,
gözlük yamuktu,
kücük hemde bayaa,
idare eder :),
çok ince gibi zor açılıp kapanıyor,
çok kötü kalitesiz,
Çok da kaliteli değil,
Beklediğimden çok fazla küçük,
Çok berbat bir ürün.,
ürün çok küçük geniş yüzlüler için,
küçük ve kalitesiz tavsiye etmiyorum,
sakın almayin,
Fuzüli iyi bise degıl,
kalitesiz ürün iade ettim,
kesinlikle tavsiye etmiyorum.,
Çok uyduruk takan kör olur,
Gözlük küçük,
Aynısı gelmedi üzgünüm,
1bile fazla,
su anki fiyata göre pahalı,
Hiç iyi değil.,
Adi ve küçük,
Gözlük eğri duruyor,
Kesinlikle almayın,
Aşırı küçük geldi iade ettim,
Yanlış ürün gönderdiler,
Kırık geldi iade,
gözlükleri hiç beğenmedim,
hiç beğenmedim,
yanlis ürün gönderildi,
beğenmedim,
Çokkk kötüydü,
yanlış ürün gönderildi,
Almayın !!!,
çok küçük almanız hata olur.,
tavsiye etmem çok kalitesiz duruyor,
Fazlasıyla kalitesiz malzeme,
kalitesiz silince boyası hemen geçti,
Kahverengi ve çizik geldi.,
Aldığıma pişman oldum. Çok dandik,
gerçekten daha kötü az sey gördüm,
Bir yıldızı bile haketmiyor ????????????????????,
Ürün küçük,
Kartona sarıp göndermişler iade ettim,
Çok kötü çoook,
Ürün çok dandik geldı hiç begemnedım,
çok kòtü defolu kirik,
alma,
hakiki deri yazıyor ama gelen ürünün deri ile alakası yok panzot herhalde çok basit duruyor .Derimod ismini taklit etmiş sonradan fark ettim .,
ürün yazılan gibi hakiki deri falan değil tavsiye etmiyorum,
bide hakiki deri yazmışlar utanmadan 1 ayda paralandı. 5 tl ederi yok,
Kalitesiz gidip ucuzluk pazarından alsam daha kaliteli olurdu sanırım nasıl iş yapıyorsunuz mağdurum,
gorseldeki ürün gelmedi, metal tokalı sipariş verdim 2 adet 2side siyah tokalı geldi, bari 1 tanesi metal rengi gelseydi. kalite olarak hakiki deri yazılmış ama pek hakiki deri gibi durmuyor..,
ÜRÜNÜ HAKİKİ DERİ DİYE SATIYORSUNUZ GELEN ÜRÜN SUNİ DERİ, ÜZERİNDEKİ ETİKETTEDE ÜRÜNLER SUNİ DERİDEN ÜRETİLMİŞ YAZIYOR. HAKİKİ DERİ DİYE YAZIP SUNİ DERİ GÖNDERMENİZ ESNAFLIĞA YAKIŞMAYAN BİR HAREKET. İADE VS BUNLARLA UĞRAŞMAYACAĞIM FAKAT BİRDAHADA SİZDEN ALIŞ VERİŞ YAPMAYACAĞIM.,
